Control Identifier,Control (or Control Enhancement) Name,Withdrawn,Privacy Baseline,"Security Control Baseline Low","Security Control Baseline Moderate","Security Control Baseline High"
SA-11(7),Developer Testing and Evaluation | Verify Scope of Testing and Evaluation,,,,,
SA-11(8),Developer Testing and Evaluation | Dynamic Code Analysis,,,,,
SA-11(9),Developer Testing and Evaluation | Interactive Application Security Testing,,,,,
SA-12,Supply Chain Protection,w,,,,
SA-12(1),Supply Chain Protection | Acquisition Strategies / Tools / Methods,w,,,,
SA-12(2),Supply Chain Protection | Supplier Reviews,w,,,,
SA-12(3),Supply Chain Protection | Trusted Shipping and Warehousing,w,,,,
SA-12(4),Supply Chain Protection | Diversity of Suppliers,w,,,,
SA-12(5),Supply Chain Protection | Limitation of Harm,w,,,,
SA-12(6),Supply Chain Protection | Minimizing Procurement Time,w,,,,
SA-12(7),Supply Chain Protection | Assessments Prior to Selection / Acceptance / Update,w,,,,
SA-12(8),Supply Chain Protection | Use of All-source Intelligence,w,,,,
SA-12(9),Supply Chain Protection | Operations Security,w,,,,
SA-12(10),Supply Chain Protection | Validate as Genuine and Not Altered,w,,,,
SA-12(11),"Supply Chain Protection | Penetration Testing / Analysis of Elements, Processes, and Actors",w,,,,
SA-12(12),Supply Chain Protection | Inter-organizational Agreements,w,,,,
SA-12(13),Supply Chain Protection | Critical Information System Components,w,,,,
SA-12(14),Supply Chain Protection | Identity and Traceability,w,,,,
SA-12(15),Supply Chain Protection | Processes to Address Weaknesses or Deficiencies,w,,,,
SA-13,Trustworthiness,w,,,,
SA-14,Criticality Analysis,w,,,,
SA-14(1),Criticality Analysis | Critical Components with No Viable Alternative Sourcing,w,,,,
SA-15,"Development Process, Standards, and Tools",,,,x,x
SA-15(1),"Development Process, Standards, and Tools | Quality Metrics",,,,,
SA-15(2),"Development Process, Standards, and Tools | Security and Privacy Tracking Tools",,,,,
SA-15(3),"Development Process, Standards, and Tools | Criticality Analysis",,,,x,x
SA-15(4),"Development Process, Standards, and Tools | Threat Modeling and Vulnerability Analysis",w,,,,
SA-15(5),"Development Process, Standards, and Tools | Attack Surface Reduction",,,,,
SA-15(6),"Development Process, Standards, and Tools | Continuous Improvement",,,,,
SA-15(7),"Development Process, Standards, and Tools | Automated Vulnerability Analysis",,,,,
SA-15(8),"Development Process, Standards, and Tools | Reuse of Threat and Vulnerability Information",,,,,
SA-15(9),"Development Process, Standards, and Tools | Use of Live Data",w,,,,
SA-15(10),"Development Process, Standards, and Tools | Incident Response Plan",,,,,
SA-15(11),"Development Process, Standards, and Tools | Archive System or Component",,,,,
SA-15(12),"Development Process, Standards, and Tools | Minimize Personally Identifiable Information",,,,,
SA-16,Developer-provided Training,,,,,x
SA-17,Developer Security and Privacy Architecture and Design,,,,,x
SA-17(1),Developer Security and Privacy Architecture and Design | Formal Policy Model,,,,,
SA-17(2),Developer Security and Privacy Architecture and Design | Security-relevant Components,,,,,
SA-17(3),Developer Security and Privacy Architecture and Design | Formal Correspondence,,,,,
SA-17(4),Developer Security and Privacy Architecture and Design | Informal Correspondence,,,,,
SA-17(5),Developer Security and Privacy Architecture and Design | Conceptually Simple Design,,,,,
SA-17(6),Developer Security and Privacy Architecture and Design | Structure for Testing,,,,,
SA-17(7),Developer Security and Privacy Architecture and Design | Structure for Least Privilege,,,,,
SA-17(8),Developer Security and Privacy Architecture and Design | Orchestration,,,,,
SA-17(9),Developer Security and Privacy Architecture and Design | Design Diversity,,,,,
SA-18,Tamper Resistance and Detection,w,,,,
SA-18(1),Tamper Resistance and Detection | Multiple Phases of System Development Life Cycle,w,,,,
SA-18(2),Tamper Resistance and Detection | Inspection of Systems or Components,w,,,,
SA-19,Component Authenticity,w,,,,
SA-19(1),Component Authenticity | Anti-counterfeit Training,w,,,,
SA-19(2),Component Authenticity | Configuration Control for Component Service and Repair,w,,,,
SA-19(3),Component Authenticity | Component Disposal,w,,,,
SA-19(4),Component Authenticity | Anti-counterfeit Scanning,w,,,,
SA-20,Customized Development of Critical Components,,,,,
SA-21,Developer Screening,,,,,x
SA-21(1),Developer Screening | Validation of Screening,w,,,,
SA-22,Unsupported System Components,,,x,x,x
SA-22(1),Unsupported System Components | Alternative Sources for Continued Support,w,,,,
SA-23,Specialization,,,,,
SC-1,Policy and Procedures,,,x,x,x
SC-2,Separation of System and User Functionality,,,,x,x
SC-2(1),Separation of System and User Functionality | Interfaces for Non-privileged Users,,,,,
SC-2(2),Separation of System and User Functionality | Disassociability,,,,,
SC-3,Security Function Isolation,,,,,x
SC-3(1),Security Function Isolation | Hardware Separation,,,,,
SC-3(2),Security Function Isolation | Access and Flow Control Functions,,,,,
SC-3(3),Security Function Isolation | Minimize Nonsecurity Functionality,,,,,
SC-3(4),Security Function Isolation | Module Coupling and Cohesiveness,,,,,
SC-3(5),Security Function Isolation | Layered Structures,,,,,
SC-4,Information in Shared System Resources,,,,x,x
SC-4(1),Information in Shared System Resources | Security Levels,w,,,,
SC-4(2),Information in Shared System Resources | Multilevel or Periods Processing,,,,,
SC-5,Denial-of-service Protection,,,x,x,x
SC-5(1),Denial-of-service Protection | Restrict Ability to Attack Other Systems,,,,,
SC-5(2),"Denial-of-service Protection | Capacity, Bandwidth, and Redundancy",,,,,
SC-5(3),Denial-of-service Protection | Detection and Monitoring,,,,,
SC-6,Resource Availability,,,,,
SC-7,Boundary Protection,,,x,x,x
SC-7(1),Boundary Protection | Physically Separated Subnetworks,w,,,,
SC-7(2),Boundary Protection | Public Access,w,,,,
SC-7(3),Boundary Protection | Access Points,,,,x,x
SC-7(4),Boundary Protection | External Telecommunications Services,,,,x,x
SC-7(5),Boundary Protection | Deny by Default — Allow by Exception,,,,x,x
SC-7(6),Boundary Protection | Response to Recognized Failures,w,,,,
SC-7(7),Boundary Protection | Split Tunneling for Remote Devices,,,,x,x
SC-7(8),Boundary Protection | Route Traffic to Authenticated Proxy Servers,,,,x,x
SC-7(9),Boundary Protection | Restrict Threatening Outgoing Communications Traffic,,,,,
SC-7(10),Boundary Protection | Prevent Exfiltration,,,,,
SC-7(11),Boundary Protection | Restrict Incoming Communications Traffic,,,,,
SC-7(12),Boundary Protection | Host-based Protection,,,,,
SC-7(13),"Boundary Protection | Isolation of Security Tools, Mechanisms, and Support Components",,,,,
SC-7(14),Boundary Protection | Protect Against Unauthorized Physical Connections,,,,,
SC-7(15),Boundary Protection | Networked Privileged Accesses,,,,,
SC-7(16),Boundary Protection | Prevent Discovery of System Components,,,,,
SC-7(17),Boundary Protection | Automated Enforcement of Protocol Formats,,,,,
SC-7(18),Boundary Protection | Fail Secure,,,,,x
SC-7(19),Boundary Protection | Block Communication from Non-organizationally Configured Hosts,,,,,
SC-7(20),Boundary Protection | Dynamic Isolation and Segregation,,,,,
SC-7(21),Boundary Protection | Isolation of System Components,,,,,x
SC-7(22),Boundary Protection | Separate Subnets for Connecting to Different Security Domains,,,,,
SC-7(23),Boundary Protection | Disable Sender Feedback on Protocol Validation Failure,,,,,
SC-7(24),Boundary Protection | Personally Identifiable Information,,x,,,
SC-7(25),Boundary Protection | Unclassified National Security System Connections,,,,,
SC-7(26),Boundary Protection | Classified National Security System Connections,,,,,
SC-7(27),Boundary Protection | Unclassified Non-national Security System Connections,,,,,
SC-7(28),Boundary Protection | Connections to Public Networks,,,,,
SC-7(29),Boundary Protection | Separate Subnets to Isolate Functions,,,,,
SC-8,Transmission Confidentiality and Integrity,,,,x,x
SC-8(1),Transmission Confidentiality and Integrity | Cryptographic Protection,,,,x,x
SC-8(2),Transmission Confidentiality and Integrity | Pre- and Post-transmission Handling,,,,,
SC-8(3),Transmission Confidentiality and Integrity | Cryptographic Protection for Message Externals,,,,,
SC-8(4),Transmission Confidentiality and Integrity | Conceal or Randomize Communications,,,,,
SC-8(5),Transmission Confidentiality and Integrity | Protected Distribution System,,,,,
SC-9,Transmission Confidentiality,w,,,,
SC-10,Network Disconnect,,,,x,x
SC-11,Trusted Path,,,,,
SC-11(1),Trusted Path | Irrefutable Communications Path,,,,,
SC-12,Cryptographic Key Establishment and Management,,,x,x,x
SC-12(1),Cryptographic Key Establishment and Management | Availability,,,,,x
SC-12(2),Cryptographic Key Establishment and Management | Symmetric Keys,,,,,
SC-12(3),Cryptographic Key Establishment and Management | Asymmetric Keys,,,,,
SC-12(4),Cryptographic Key Establishment and Management | PKI Certificates,w,,,,
SC-12(5),Cryptographic Key Establishment and Management | PKI Certificates / Hardware Tokens,w,,,,
SC-12(6),Cryptographic Key Establishment and Management | Physical Control of Keys,,,,,
SC-13,Cryptographic Protection,,,x,x,x
SC-13(1),Cryptographic Protection | FIPS-validated Cryptography,w,,,,
SC-13(2),Cryptographic Protection | NSA-approved Cryptography,w,,,,
SC-13(3),Cryptographic Protection | Individuals Without Formal Access Approvals,w,,,,
SC-13(4),Cryptographic Protection | Digital Signatures,w,,,,
SC-14,Public Access Protections,w,,,,
SC-15,Collaborative Computing Devices and Applications,,,x,x,x
SC-15(1),Collaborative Computing Devices and Applications | Physical or Logical Disconnect,,,,,
SC-15(2),Collaborative Computing Devices and Applications | Blocking Inbound and Outbound Communications Traffic,w,,,,
SC-15(3),Collaborative Computing Devices and Applications | Disabling and Removal in Secure Work Areas,,,,,
SC-15(4),Collaborative Computing Devices and Applications | Explicitly Indicate Current Participants,,,,,
SC-16,Transmission of Security and Privacy Attributes,,,,,
SC-16(1),Transmission of Security and Privacy Attributes | Integrity Verification,,,,,
SC-16(2),Transmission of Security and Privacy Attributes | Anti-spoofing Mechanisms,,,,,
SC-16(3),Transmission of Security and Privacy Attributes | Cryptographic Binding,,,,,
SC-17,Public Key Infrastructure Certificates,,,,x,x
SC-18,Mobile Code,,,,x,x
SC-18(1),Mobile Code | Identify Unacceptable Code and Take Corrective Actions,,,,,
SC-18(2),"Mobile Code | Acquisition, Development, and Use",,,,,
SC-18(3),Mobile Code | Prevent Downloading and Execution,,,,,
SC-18(4),Mobile Code | Prevent Automatic Execution,,,,,
SC-18(5),Mobile Code | Allow Execution Only in Confined Environments,,,,,
SC-19,Voice Over Internet Protocol,w,,,,
SC-20,Secure Name/address Resolution Service (authoritative Source),,,x,x,x
SC-20(1),Secure Name/address Resolution Service (authoritative Source) | Child Subspaces,3,,,,
SC-20(2),Secure Name/address Resolution Service (authoritative Source) | Data Origin and Integrity,,,,,
SC-21,Secure Name/address Resolution Service (recursive or Caching Resolver),,,x,x,x
SC-21(1),Secure Name/address Resolution Service (recursive or Caching Resolver) | Data Origin and Integrity,w,,,,
SC-22,Architecture and Provisioning for Name/address Resolution Service,,,x,x,x
SC-23,Session Authenticity,,,,x,x
SC-23(1),Session Authenticity | Invalidate Session Identifiers at Logout,,,,,
SC-23(2),Session Authenticity | User-initiated Logouts and Message Displays,w,,,,
SC-23(3),Session Authenticity | Unique System-generated Session Identifiers,,,,,
SC-23(4),Session Authenticity | Unique Session Identifiers with Randomization,w,,,,
SC-23(5),Session Authenticity | Allowed Certificate Authorities,,,,,
SC-24,Fail in Known State,,,,,x
SC-25,Thin Nodes,,,,,
SC-26,Decoys,,,,,
SC-26(1),Decoys | Detection of Malicious Code,w,,,,
SC-27,Platform-independent Applications,,,,,
SC-28,Protection of Information at Rest,,,,x,x
SC-28(1),Protection of Information at Rest | Cryptographic Protection,,,,x,x
SC-28(2),Protection of Information at Rest | Offline Storage,,,,,
SC-28(3),Protection of Information at Rest | Cryptographic Keys,,,,,
SC-29,Heterogeneity,,,,,
SC-29(1),Heterogeneity | Virtualization Techniques,,,,,
SC-30,Concealment and Misdirection,,,,,
SC-30(1),Concealment and Misdirection | Virtualization Techniques,w,,,,
SC-30(2),Concealment and Misdirection | Randomness,,,,,
SC-30(3),Concealment and Misdirection | Change Processing and Storage Locations,,,,,
SC-30(4),Concealment and Misdirection | Misleading Information,,,,,
SC-30(5),Concealment and Misdirection | Concealment of System Components,,,,,
SC-31,Covert Channel Analysis,,,,,
SC-31(1),Covert Channel Analysis | Test Covert Channels for Exploitability,,,,,
SC-31(2),Covert Channel Analysis | Maximum Bandwidth,,,,,
SC-31(3),Covert Channel Analysis | Measure Bandwidth in Operational Environments,,,,,
SC-32,System Partitioning,,,,,
SC-32(1),System Partitioning | Separate Physical Domains for Privileged Functions,,,,,
SC-33,Transmission Preparation Integrity,w,,,,
SC-34,Non-modifiable Executable Programs,,,,,
SC-34(1),Non-modifiable Executable Programs | No Writable Storage,,,,,
SC-34(2),Non-modifiable Executable Programs | Integrity Protection on Read-only Media,,,,,
SC-34(3),Non-modifiable Executable Programs | Hardware-based Protection,w,,,,
SC-35,External Malicious Code Identification,,,,,
SC-36,Distributed Processing and Storage,,,,,
SC-36(1),Distributed Processing and Storage | Polling Techniques,,,,,
SC-36(2),Distributed Processing and Storage | Synchronization,,,,,
SC-37,Out-of-band Channels,,,,,
SC-37(1),Out-of-band Channels | Ensure Delivery and Transmission,,,,,
SC-38,Operations Security,,,,,
SC-39,Process Isolation,,,x,x,x
SC-39(1),Process Isolation | Hardware Separation,,,,,
SC-39(2),Process Isolation | Separate Execution Domain Per Thread,,,,,
SC-40,Wireless Link Protection,,,,,
SC-40(1),Wireless Link Protection | Electromagnetic Interference,,,,,
SC-40(2),Wireless Link Protection | Reduce Detection Potential,,,,,
SC-40(3),Wireless Link Protection | Imitative or Manipulative Communications Deception,,,,,
SC-40(4),Wireless Link Protection | Signal Parameter Identification,,,,,
SC-41,Port and I/O Device Access,,,,,
SC-42,Sensor Capability and Data,,,,,
SC-42(1),Sensor Capability and Data | Reporting to Authorized Individuals or Roles,,,,,
SC-42(2),Sensor Capability and Data | Authorized Use,,,,,
SC-42(3),Sensor Capability and Data | Prohibit Use of Devices,w,,,,
SC-42(4),Sensor Capability and Data | Notice of Collection,,,,,
SC-42(5),Sensor Capability and Data | Collection Minimization,,,,,
SC-43,Usage Restrictions,,,,,
SC-44,Detonation Chambers,,,,,
SC-45,System Time Synchronization,,,,,
SC-45(1),System Time Synchronization | Synchronization with Authoritative Time Source,,,,,
SC-45(2),System Time Synchronization | Secondary Authoritative Time Source,,,,,
SC-46,Cross Domain Policy Enforcement,,,,,
SC-47,Alternate Communications Paths,,,,,
SC-48,Sensor Relocation,,,,,
SC-48(1),Sensor Relocation | Dynamic Relocation of Sensors or Monitoring Capabilities,,,,,
SC-49,Hardware-enforced Separation and Policy Enforcement,,,,,
SC-50,Software-enforced Separation and Policy Enforcement,,,,,
SC-51,Hardware-based Protection,,,,,
SI-1,Policy and Procedures,,x,x,x,x
SI-2,Flaw Remediation,,,x,x,x
SI-2(1),Flaw Remediation | Central Management,w,,,,
SI-2(2),Flaw Remediation | Automated Flaw Remediation Status,,,,x,x
SI-2(3),Flaw Remediation | Time to Remediate Flaws and Benchmarks for Corrective Actions,,,,,
SI-2(4),Flaw Remediation | Automated Patch Management Tools,,,,,
SI-2(5),Flaw Remediation | Automatic Software and Firmware Updates,,,,,
SI-2(6),Flaw Remediation | Removal of Previous Versions of Software and Firmware,,,,,
SI-3,Malicious Code Protection,,,x,x,x
SI-3(1),Malicious Code Protection | Central Management,w,,,,
SI-3(2),Malicious Code Protection | Automatic Updates,w,,,,
SI-3(3),Malicious Code Protection | Non-privileged Users,w,,,,
SI-3(4),Malicious Code Protection | Updates Only by Privileged Users,,,,,
SI-3(5),Malicious Code Protection | Portable Storage Devices,w,,,,
SI-3(6),Malicious Code Protection | Testing and Verification,,,,,
SI-3(7),Malicious Code Protection | Nonsignature-based Detection,w,,,,
SI-3(8),Malicious Code Protection | Detect Unauthorized Commands,,,,,
SI-3(9),Malicious Code Protection | Authenticate Remote Commands,w,,,,
SI-3(10),Malicious Code Protection | Malicious Code Analysis,,,,,
SI-4,System Monitoring,,,x,x,x
SI-4(1),System Monitoring | System-wide Intrusion Detection System,,,,,
SI-4(2),System Monitoring | Automated Tools and Mechanisms for Real-time Analysis,,,,x,x
SI-4(3),System Monitoring | Automated Tool and Mechanism Integration,,,,,
SI-4(4),System Monitoring | Inbound and Outbound Communications Traffic,,,,x,x
SI-4(5),System Monitoring | System-generated Alerts,,,,x,x
SI-4(6),System Monitoring | Restrict Non-privileged Users,w,,,,
SI-4(7),System Monitoring | Automated Response to Suspicious Events,,,,,
SI-4(8),System Monitoring | Protection of Monitoring Information,w,,,,
SI-4(9),System Monitoring | Testing of Monitoring Tools and Mechanisms,,,,,
SI-4(10),System Monitoring | Visibility of Encrypted Communications,,,,,x
SI-4(11),System Monitoring | Analyze Communications Traffic Anomalies,,,,,
SI-4(12),System Monitoring | Automated Organization-generated Alerts,,,,,x
SI-4(13),System Monitoring | Analyze Traffic and Event Patterns,,,,,
SI-4(14),System Monitoring | Wireless Intrusion Detection,,,,,x
SI-4(15),System Monitoring | Wireless to Wireline Communications,,,,,
SI-4(16),System Monitoring | Correlate Monitoring Information,,,,,
SI-4(17),System Monitoring | Integrated Situational Awareness,,,,,
SI-4(18),System Monitoring | Analyze Traffic and Covert Exfiltration,,,,,
SI-4(19),System Monitoring | Risk for Individuals,,,,,
SI-4(20),System Monitoring | Privileged Users,,,,,x
SI-4(21),System Monitoring | Probationary Periods,,,,,
SI-4(22),System Monitoring | Unauthorized Network Services,,,,,x
SI-4(23),System Monitoring | Host-based Devices,,,,,
SI-4(24),System Monitoring | Indicators of Compromise,,,,,
SI-4(25),System Monitoring | Optimize Network Traffic Analysis,,,,,
SI-5,"Security Alerts, Advisories, and Directives",,,x,x,x
SI-5(1),"Security Alerts, Advisories, and Directives | Automated Alerts and Advisories",,,,,x
SI-6,Security and Privacy Function Verification,,,,,x
SI-6(1),Security and Privacy Function Verification | Notification of Failed Security Tests,w,,,,
SI-6(2),Security and Privacy Function Verification | Automation Support for Distributed Testing,,,,,
SI-6(3),Security and Privacy Function Verification | Report Verification Results,,,,,
SI-7,"Software, Firmware, and Information Integrity",,,,x,x
SI-7(1),"Software, Firmware, and Information Integrity | Integrity Checks",,,,x,x
SI-7(2),"Software, Firmware, and Information Integrity | Automated Notifications of Integrity Violations",,,,,x
SI-7(3),"Software, Firmware, and Information Integrity | Centrally Managed Integrity Tools",,,,,
SI-7(4),"Software, Firmware, and Information Integrity | Tamper-evident Packaging",w,,,,
SI-7(5),"Software, Firmware, and Information Integrity | Automated Response to Integrity Violations",,,,,x
SI-7(6),"Software, Firmware, and Information Integrity | Cryptographic Protection",,,,,
SI-7(7),"Software, Firmware, and Information Integrity | Integration of Detection and Response",,,,,
SI-7(8),"Software, Firmware, and Information Integrity | Auditing Capability for Significant Events",,,,,
SI-7(9),"Software, Firmware, and Information Integrity | Verify Boot Process",,,,,
SI-7(10),"Software, Firmware, and Information Integrity | Protection of Boot Firmware",,,,,
SI-7(11),"Software, Firmware, and Information Integrity | Confined Environments with Limited Privileges",w,,,,
SI-7(12),"Software, Firmware, and Information Integrity | Integrity Verification",,,,,
SI-7(13),"Software, Firmware, and Information Integrity | Code Execution in Protected Environments",w,,,,
SI-7(14),"Software, Firmware, and Information Integrity | Binary or Machine Executable Code",w,,,,
SI-7(15),"Software, Firmware, and Information Integrity | Code Authentication",,,,,x
SI-7(16),"Software, Firmware, and Information Integrity | Time Limit on Process Execution Without Supervision",,,,,
SI-7(17),"Software, Firmware, and Information Integrity | Runtime Application Self-protection",,,,,
SI-8,Spam Protection,,,,x,x
SI-8(1),Spam Protection | Central Management,w,,,,
SI-8(2),Spam Protection | Automatic Updates,,,,,
SI-8(3),Spam Protection | Continuous Learning Capability,,,,x,x
SI-9,Information Input Restrictions,w,,,,
SI-10,Information Input Validation,,,,x,x
SI-10(1),Information Input Validation | Manual Override Capability,,,,,
SI-10(2),Information Input Validation | Review and Resolve Errors,,,,,
SI-10(3),Information Input Validation | Predictable Behavior,,,,,
SI-10(4),Information Input Validation | Timing Interactions,,,,,
SI-10(5),Information Input Validation | Restrict Inputs to Trusted Sources and Approved Formats,,,,,
SI-10(6),Information Input Validation | Injection Prevention,,,,,
SI-11,Error Handling,,,,x,x
SI-12,Information Management and Retention,,x ,x,x,x
SI-12(1),Information Management and Retention | Limit Personally Identifiable Information Elements,,x ,,,
SI-12(2),"Information Management and Retention | Minimize Personally Identifiable Information in Testing, Training, and Research",,x ,,,
SI-12(3),Information Management and Retention | Information Disposal,,x ,,,
SI-13,Predictable Failure Prevention,,,,,
SI-13(1),Predictable Failure Prevention | Transferring Component Responsibilities,,,,,
SI-13(2),Predictable Failure Prevention | Time Limit on Process Execution Without Supervision,w,,,,
SI-13(3),Predictable Failure Prevention | Manual Transfer Between Components,,,,,
SI-13(4),Predictable Failure Prevention | Standby Component Installation and Notification,,,,,
SI-13(5),Predictable Failure Prevention | Failover Capability,,,,,
SI-14,Non-persistence,,,,,
SI-14(1),Non-persistence | Refresh from Trusted Sources,,,,,
SI-14(2),Non-persistence | Non-persistent Information,,,,,
SI-14(3),Non-persistence | Non-persistent Connectivity,,,,,
SI-15,Information Output Filtering,,,,,
SI-16,Memory Protection,,,,x,x
SI-17,Fail-safe Procedures,,,,,
SI-18,Personally Identifiable Information Quality Operations,,x ,,,
SI-18(1),Personally Identifiable Information Quality Operations | Automation Support,,,,,
SI-18(2),Personally Identifiable Information Quality Operations | Data Tags,,,,,
SI-18(3),Personally Identifiable Information Quality Operations | Collection,,,,,
SI-18(4),Personally Identifiable Information Quality Operations | Individual Requests,,x ,,,
SI-18(5),Personally Identifiable Information Quality Operations | Notice of Correction or Deletion,,,,,
SI-19,De-identification,,x ,,,
SI-19(1),De-identification | Collection,,,,,
SI-19(2),De-identification | Archiving,,,,,
SI-19(3),De-identification | Release,,,,,
SI-19(4),"De-identification | Removal, Masking, Encryption, Hashing, or Replacement of Direct Identifiers",,,,,
SI-19(5),De-identification | Statistical Disclosure Control,,,,,
SI-19(6),De-identification | Differential Privacy,,,,,
SI-19(7),De-identification | Validated Algorithms and Software,,,,,
SI-19(8),De-identification | Motivated Intruder,,,,,
SI-20,Tainting,,,,,
SI-21,Information Refresh,,,,,
SI-22,Information Diversity,,,,,
SI-23,Information Fragmentation,,,,,
SR-1,Policy and Procedures,,,x,x,x
SR-2,Supply Chain Risk Management Plan,,,x,x,x
SR-2(1),Supply Chain Risk Management Plan | Establish SCRM Team,,,x,x,x
SR-3,Supply Chain Controls and Processes,,,x,x,x
SR-3(1),Supply Chain Controls and Processes | Diverse Supply Base,,,,,
SR-3(2),Supply Chain Controls and Processes | Limitation of Harm,,,,,
SR-3(3),Supply Chain Controls and Processes | Sub-tier Flow Down,,,,,
SR-4,Provenance,,,,,
SR-4(1),Provenance | Identity,,,,,
SR-4(2),Provenance | Track and Trace,,,,,
SR-4(3),Provenance | Validate as Genuine and Not Altered,,,,,
SR-4(4),Provenance | Supply Chain Integrity — Pedigree,,,,,
SR-5,"Acquisition Strategies, Tools, and Methods",,,x,x,x
SR-5(1),"Acquisition Strategies, Tools, and Methods | Adequate Supply",,,,,
SR-5(2),"Acquisition Strategies, Tools, and Methods | Assessments Prior to Selection, Acceptance, Modification, or Update",,,,,
SR-6,Supplier Assessments and Reviews,,,,x,x
SR-6(1),Supplier Assessments and Reviews | Testing and Analysis,,,,,
SR-7,Supply Chain Operations Security,,,,,
SR-8,Notification Agreements,,,x,x,x
SR-9,Tamper Resistance and Detection,,,,,x
SR-9(1),Tamper Resistance and Detection | Multiple Stages of System Development Life Cycle,,,,,x
SR-10,Inspection of Systems or Components,,,x,x,x
SR-11,Component Authenticity,,,x,x,x
SR-11(1),Component Authenticity | Anti-counterfeit Training,,,x,x,x
SR-11(2),Component Authenticity | Configuration Control for Component Service and Repair,,,x,x,x
SR-11(3),Component Authenticity | Anti-counterfeit Scanning,,,,,
SR-12,Component Disposal,,,x,x,x
